Buchungsnummer;Kennzeichen;S_Id;Stationsname;Fahrzeugsteller;Abrechnungsmonat;Buchungsstatus;Buchungsbeginn;Buchungsende;Fahrtbeginn;Fahrtende;Stornierung;Buchungsdauer_std;Fahrtdauer_std;KM;Tarif;Nutzungskategorie;PC_Id;Preiskomponente;Zahlungsstatus;Zeitkosten;Zeitkosten_nach_Guthaben;KM_Kosten;KM_Kosten_nach_Guthaben;Buchungsgebuehr;Spaetrueckgabegebuehr;Fahrtkosten;Fahrtkosten_nach_Guthaben
R000102;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-01;finished;23.01.2025 00:00;24.01.2025 14:00;24.01.2025 09:24;24.01.2025 09:25;;38;0;0.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000104;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-01;finished;27.01.2025 08:00;30.01.2025 15:00;27.01.2025 13:45;29.01.2025 17:40;;79;51,92;35.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000138;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-01;cancelled;31.01.2025 14:30;31.01.2025 18:00;;;31.01.2025 12:34;3,5;;;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;3,5;3,5;0;0;2,5;0;6;0
R000188;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-02;finished;02.02.2025 15:45;02.02.2025 16:45;02.02.2025 15:52;02.02.2025 16:35;;1;0,72;49.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;2,29;2,29;9,31;9,31;2,5;0;14,1;0
R000213;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-02;cancelled;08.02.2025 13:30;08.02.2025 18:30;;;07.02.2025 12:00;5;;;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;0;0;0;0;0;0;0;0
R000258;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-02;finished;15.02.2025 14:00;15.02.2025 17:00;15.02.2025 13:53;15.02.2025 16:32;;3;2,63;50.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;7,04;7,04;9,5;9,5;2,5;0;19,04;0
R000282;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-02;finished;24.02.2025 17:00;24.02.2025 18:30;24.02.2025 17:02;24.02.2025 18:09;;1,5;1,1;39.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;3,21;3,21;7,41;7,41;2,5;0;13,12;0
R000344;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-02;finished;23.02.2025 13:00;23.02.2025 17:00;23.02.2025 13:09;23.02.2025 16:22;;4;3,22;37.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;9,08;9,08;7,03;7,03;2,5;0;18,61;0
R000364;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;25.03.2025 17:45;26.03.2025 17:00;25.03.2025 17:40;26.03.2025 15:02;;23,25;21,37;77.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000385;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-02;finished;25.02.2025 16:00;25.02.2025 18:00;25.02.2025 16:05;25.02.2025 17:51;;2;1,77;37.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;4,79;4,79;7,03;7,03;2,5;0;14,32;0
R000394;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-02;finished;26.02.2025 08:00;26.02.2025 16:15;26.02.2025 07:50;26.02.2025 15:07;;8,25;7,28;196.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;19,33;19,33;37,24;37,24;2,5;0;59,07;29,07
R000405;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;24.03.2025 07:00;26.03.2025 06:30;24.03.2025 12:23;25.03.2025 17:31;;47,5;29,12;153.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000459;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;07.03.2025 16:00;07.03.2025 18:00;07.03.2025 16:08;07.03.2025 17:46;;2;1,62;51.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Keine Zahlung;4,67;4,67;9,69;9,69;2,5;0;16,86;0
R000464;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;22.03.2025 14:00;22.03.2025 18:00;22.03.2025 13:56;22.03.2025 17:00;;4;3,07;36.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;8,71;8,71;6,84;6,84;2,5;0;18,05;6,66
R000474;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;09.03.2025 09:30;09.03.2025 13:00;09.03.2025 09:30;09.03.2025 12:30;;3,5;3;35.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;8,04;8,04;6,65;6,65;2,5;0;17,19;0
R000486;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;13.03.2025 14:30;13.03.2025 18:30;13.03.2025 14:32;13.03.2025 17:40;;4;3,12;40.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;8,75;8,75;7,6;7,6;2,5;0;18,85;18,85
R000498;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;cancelled;13.03.2025 10:30;13.03.2025 13:00;;;13.03.2025 10:23;2,5;;;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000499;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;14.03.2025 10:30;14.03.2025 13:00;14.03.2025 10:35;14.03.2025 11:47;;2,5;1,18;38.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000507;R-CA 124E;14;Hainsacker;Lappersdorf - Hainsacker / C115;2025-03;finished;16.03.2025 14:00;16.03.2025 19:00;16.03.2025 14:20;16.03.2025 18:29;;5;4,15;43.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;11,75;11,75;8,17;8,17;2,5;0;22,42;11,46
