Stationsname,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Lappersdorf,57,305.59000000000003,2278.0,1356.9,1304.84
Laaber,49,116.3,1536.0,709.0,658.5
Donaustauf,48,171.89000000000001,1694.0,953.52,859.52
Neutraubling,47,329.5,2135.0,1250.36,1196.46
Sinzing,28,98.10000000000001,1281.0,585.88,547.09
Hainsacker,27,75.6,1453.0,602.86,562.95
Pentling,25,82.7,1395.0,571.9300000000001,512.3100000000001
Regenstauf,23,107.13,2477.0,810.31,735.41
Köfering,11,132.46,1547.0,570.72,570.72
Wenzenbach,6,131.16,866.0,446.75,446.75
Nittendorf,6,36.69,701.0,225.45,215.45
Alteglofsheim,3,7.15,268.0,83.67999999999999,73.67999999999999
Schierling,3,17.919999999999998,272.0,106.72,96.72
Pettendorf,1,5.73,87.0,31.36,31.36
