Stationsname,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Lappersdorf,66,272.71999999999997,3276.0,1488.0,1428.0
Pentling,65,284.77,4098.0,1753.39,1583.5
Donaustauf,61,258.63,2939.0,1438.54,1320.78
Neutraubling,52,200.98,2477.0,1160.08,1120.08
Sinzing,41,137.98,1803.0,888.37,868.37
Laaber,39,104.08,896.0,571.74,514.52
Regenstauf,34,125.64999999999999,2216.0,864.84,761.39
Wenzenbach,26,164.61,1059.0,719.42,709.58
Hainsacker,25,92.29,1957.0,688.55,638.55
Nittendorf,13,181.95000000000002,2468.0,864.9,854.9
Köfering,11,137.14000000000001,563.0,439.6,429.6
Alteglofsheim,7,53.68,459.0,231.8,191.8
Pettendorf,6,19.12,215.0,105.01,105.01
Schierling,1,2.58,49.0,18.77,8.77
