Stationsname,Jahr,Monat,JahrMonat,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Donaustauf,2026,3,2026-03,30,49.22,778.0,489.9,214.95
Donaustauf,2026,4,2026-04,11,0.0,450.0,238.13,0.0
Donaustauf,2026,5,2026-05,11,0.0,305.0,199.04000000000002,0.0
Donaustauf,2026,6,2026-06,18,0.0,1010.0,0.0,0.0
Hainsacker,2025,1,2025-01,0,0.0,0.0,6.0,0.0
Hainsacker,2025,2,2025-02,6,16.72,408.0,138.26,29.07
Hainsacker,2025,3,2025-03,5,14.96,205.0,93.37,36.97
Hainsacker,2025,4,2025-04,7,26.720000000000002,344.0,163.87,97.94
Hainsacker,2025,5,2025-05,6,9.93,96.0,61.96,51.96
Hainsacker,2025,6,2025-06,1,2.17,17.0,11.81,1.81
Hainsacker,2025,7,2025-07,8,58.160000000000004,358.0,235.24,225.24
Hainsacker,2025,8,2025-08,0,0.0,0.0,0.0,0.0
Hainsacker,2025,9,2025-09,8,32.46,645.0,233.18,213.18
Hainsacker,2025,10,2025-10,5,21.07,456.0,153.43,143.43
Hainsacker,2025,11,2025-11,9,37.94,1199.0,358.43,338.43
Hainsacker,2025,12,2025-12,11,33.28,302.0,176.69,156.69
Hainsacker,2026,1,2026-01,8,31.84,588.0,247.43,237.52
Hainsacker,2026,2,2026-02,6,16.49,499.0,171.06,161.06
Hainsacker,2026,3,2026-03,26,27.27,732.0,368.74,164.37
Hainsacker,2026,4,2026-04,7,0.0,328.0,143.07999999999998,0.0
Hainsacker,2026,5,2026-05,11,0.0,891.0,345.38,0.0
Hainsacker,2026,6,2026-06,3,0.0,584.0,0.0,0.0
Köfering,2025,1,2025-01,1,10.28,252.0,78.71,48.71
Köfering,2025,2,2025-02,8,42.55,716.0,269.08,169.07999999999998
Köfering,2025,3,2025-03,7,57.45,334.0,220.17000000000002,180.17000000000002
Köfering,2025,4,2025-04,4,6.52,130.0,55.449999999999996,45.449999999999996
Köfering,2025,5,2025-05,3,13.59,275.0,96.58,96.58
Köfering,2025,6,2025-06,6,30.45,340.0,165.24,155.24
Köfering,2025,7,2025-07,3,39.35,523.0,187.62,187.62
Köfering,2025,8,2025-08,5,23.93,428.0,159.87,159.87
Köfering,2025,9,2025-09,2,51.82,152.0,185.63000000000002,185.63000000000002
Köfering,2025,10,2025-10,5,32.91,226.0,144.27,134.27
