Stationsname,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Neutraubling,67,424.53,4796.0,1505.28,1425.28
Lappersdorf,66,497.17,3769.0,1708.22,1663.97
Donaustauf,55,208.31,2154.0,682.12,592.12
Sinzing,54,255.89,4041.0,1288.23,1241.3999999999999
Laaber,49,185.64,2241.0,694.7,649.7
Regenstauf,36,267.06,3393.0,1078.42,998.4200000000001
Hainsacker,34,753.47,2169.0,672.83,612.83
Köfering,24,175.42,2739.0,705.83,700.83
Wenzenbach,19,203.39000000000001,1596.0,728.45,728.45
Nittendorf,16,131.32999999999998,1184.0,598.19,578.19
Alteglofsheim,15,49.18,736.0,186.54,176.54
Pettendorf,3,6.19,79.0,0.0,0.0
Schierling,1,1.82,42.0,15.27,5.27
Pentling,0,0.0,0.0,0.0,0.0
