Stationsname,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Nittendorf,60,454.21,5146.0,2327.15,2125.38
Laaber,59,159.71,2897.0,1197.71,1040.07
Neutraubling,50,411.67,2804.0,1634.38,1206.27
Pentling,38,167.04,1988.0,969.53,652.68
Donaustauf,35,124.83,1916.0,846.26,423.90999999999997
Lappersdorf,30,136.07,1638.0,768.11,438.75
Sinzing,23,58.36,1042.0,439.59000000000003,111.78999999999999
Regenstauf,23,143.4,3243.0,1052.08,825.56
Wenzenbach,21,134.06,938.0,593.04,343.84000000000003
Köfering,16,110.28,1302.0,567.96,397.96
Alteglofsheim,14,72.32,580.0,346.77,203.69
Hainsacker,11,31.68,613.0,237.63,66.04
Schierling,4,16.06,542.0,156.35,78.3
Pettendorf,1,10.4,49.0,38.14,38.14
